trackname,album_title,artist,total_purchases,total_cost
Title Song,Live [Disc 2],The Black Crowes,2,1.98
Times Like These,One By One,Foo Fighters,2,1.98
The Woman King,"Battlestar Galactica, Season 3",Battlestar Galactica,2,3.98
The Wicker Man,Rock In Rio [CD1],Iron Maiden,2,1.98
The Unforgiven II,ReLoad,Metallica,2,1.98
The Unforgiven,Black Album,Metallica,2,1.98
The Thin Line Between Love & Hate,Brave New World,Iron Maiden,2,1.98
The Star Spangled Banner,Rattle And Hum,U2,2,1.98
The Prisoner,The Number of The Beast,Iron Maiden,2,1.98
The Midnight Special,"Chronicle, Vol. 2",Creedence Clearwater Revival,2,1.98
The Last Song,In Your Honor [Disc 1],Foo Fighters,2,1.98
The House Jack Built,Load,Metallica,2,1.98
The Garden,Use Your Illusion I,Guns N' Roses,2,1.98
The Fix,"Heroes, Season 1",Heroes,2,3.98
The Evil That Men Do,Live At Donington 1992 (Disc 1),Iron Maiden,2,1.98
The Duke,Miles Ahead,Miles Davis,2,1.98
The Clairvoyant,Seventh Son of a Seventh Son,Iron Maiden,2,1.98
The Aftermath,The X Factor,Iron Maiden,2,1.98
That's The Way,Led Zeppelin III,Led Zeppelin,2,1.98
Thank You,Led Zeppelin II,Led Zeppelin,2,1.98
Tempo Perdido,Mais Do Mesmo,Legião Urbana,2,1.98
Tear,By The Way,Red Hot Chili Peppers,2,1.98
Tarde Em Itapoã,Chill: Brazil (Disc 2),Antônio Carlos Jobim,2,1.98
Tanto Tempo,Chill: Brazil (Disc 2),Antônio Carlos Jobim,2,1.98
Take It Or Leave It,Get Born,JET,2,1.98
Só Tinha De Ser Com Você,Chill: Brazil (Disc 2),Antônio Carlos Jobim,2,1.98
"Symphonie Fantastique, Op. 14: V. Songe d'une nuit du sabbat",Berlioz: Symphonie Fantastique,Michael Tilson Thomas & San Francisco Symphony,2,1.98
Sweet Hitch-Hiker,"Chronicle, Vol. 1",Creedence Clearwater Revival,2,1.98
Susie Q,"Chronicle, Vol. 1",Creedence Clearwater Revival,2,1.98
Sunshine Of Your Love,The Cream Of Clapton,Eric Clapton,2,1.98
Sunday Bloody Sunday,War,U2,2,1.98
Sun King,"Pure Cult: The Best Of The Cult (For Rockers, Ravers, Lovers & Sinners) [UK]",The Cult,2,1.98
"Suite No. 3 in D, BWV 1068: III. Gavotte I & II",Bach: Orchestral Suites Nos. 1 - 4,"Academy of St. Martin in the Fields, Sir Neville Marriner & Thurston Dart",2,1.98
"String Quartet No. 12 in C Minor, D. 703 ""Quartettsatz"": II. Andante - Allegro assai",Schubert: The Late String Quartets & String Quintet (3 CD's),Emerson String Quartet,2,1.98
Stormbringer,MK III The Final Concerts [Disc 1],Deep Purple,2,1.98
Stone Cold Crazy,Garage Inc. (Disc 2),Metallica,2,1.98
Stir It Up (Live),Quanta Gente Veio Ver (Live),Gilberto Gil,2,1.98
Starburst,Morning Dance,Spyro Gyra,2,1.98
Speed Of Light,Beyond Good And Evil,The Cult,2,1.98
Somebody To Love,Greatest Hits I,Queen,2,1.98
Soldier Side - Intro,Mezmerize,System Of A Down,2,1.98
So What,The Essential Miles Davis [Disc 1],Miles Davis,2,1.98
So Central Rain,The Best Of R.E.M.: The IRS Years,R.E.M.,2,1.98
Snowblind,Black Sabbath Vol. 4 (Remaster),Black Sabbath,2,1.98
Snowballed,For Those About To Rock We Salute You,AC/DC,2,1.98
Smoke On The Water,MK III The Final Concerts [Disc 1],Deep Purple,2,1.98
Smells Like Teen Spirit,From The Muddy Banks Of The Wishkah [Live],Nirvana,2,1.98
Slither,ReLoad,Metallica,2,1.98
Since I've Been Loving You,BBC Sessions [Disc 2] [Live],Led Zeppelin,2,1.98
Sign Of The Cross,Rock In Rio [CD1],Iron Maiden,2,1.98
Shoot Me Again,St. Anger,Metallica,2,1.98
Shock Me,Greatest Kiss,Kiss,2,1.98
She Loves Me Not,Album Of The Year,Faith No More,2,1.98
She,International Superhits,Green Day,2,1.98
Shakes and Ladders,The Best Of Men At Work,Men At Work,2,1.98
"Scheherazade, Op. 35: I. The Sea and Sindbad's Ship",Scheherazade,Chicago Symphony Orchestra & Fritz Reiner,2,1.98
Save The Children,Seek And Shall Find: More Of The Best (1963-1981),Marvin Gaye,2,1.98
Saturnine,Judas 0: B-Sides and Rarities,Smashing Pumpkins,2,1.98
Sangue Latino,Compositores,O Terço,2,1.98
Samba Do Lado,Afrociberdelia,Chico Science & Nação Zumbi,2,1.98
Samba De Orly,Minha Historia,Chico Buarque,2,1.98
Saber Amar,Arquivo II,Os Paralamas Do Sucesso,2,1.98
Run To The Hills,Rock In Rio [CD2],Iron Maiden,2,1.98
Run Silent Run Deep,No Prayer For The Dying,Iron Maiden,2,1.98
Romance Ideal,Arquivo Os Paralamas Do Sucesso,Os Paralamas Do Sucesso,2,1.98
Rocket Queen,Appetite for Destruction,Guns N' Roses,2,1.98
Rock And Roll All Nite,Unplugged [Live],Kiss,2,1.98
Rock & Roll,IV,Led Zeppelin,2,1.98
Right On Time,Californication,Red Hot Chili Peppers,2,1.98
Revolta Olodum,Olodum,Olodum,2,1.98
Rehab,Back to Black,Amy Winehouse,2,1.98
Red Light,War,U2,2,1.98
Real Love,Rotten Apples: Greatest Hits,Smashing Pumpkins,2,1.98
Re-Align,Faceless,Godsmack,2,1.98
Rappers Reais,Os Cães Ladram Mas A Caravana Não Pára,Planet Hemp,2,1.98
Ramble On,Led Zeppelin II,Led Zeppelin,2,1.98
Radio Song,Get Born,JET,2,1.98
Question!,Mezmerize,System Of A Down,2,1.98
Que Luz É Essa,Raul Seixas,Raul Seixas,2,1.98
Prowler,A Real Dead One,Iron Maiden,2,1.98
Promises,The Cream Of Clapton,Eric Clapton,2,1.98
Primavera,Supernatural,Santana,2,1.98
Pride (In The Name Of Love),Rattle And Hum,U2,2,1.98
Pretty Noose,A-Sides,Soundgarden,2,1.98
Powerslave,Live After Death,Iron Maiden,2,1.98
Por Causa De Você,Warner 25 Anos,Antônio Carlos Jobim,2,1.98
Polly,From The Muddy Banks Of The Wishkah [Live],Nirvana,2,1.98
Plot 180,Original Soundtracks 1,Passengers,2,1.98
Pilot,Aquaman,Aquaman,2,3.98
Piece Of Pie,Core,Stone Temple Pilots,2,1.98
Phyllis's Wedding,"The Office, Season 3",The Office,2,3.98
Phantom Lord,Kill 'Em All,Metallica,2,1.98
Perfect Crime,Use Your Illusion I,Guns N' Roses,2,1.98
Pela Luz dos Olhos Teus (Miúcha e Tom Jobim),Vozes do MPB,Various Artists,2,1.98
Peace On Earth,All That You Can't Leave Behind,U2,2,1.98
Paint It Black,"Hot Rocks, 1964-1971 (Disc 1)",The Rolling Stones,2,1.98
Overdose,Let There Be Rock,AC/DC,2,1.98
Onde Você Mora?,Acústico MTV [Live],Cidade Negra,2,1.98
Onde Anda Você,Vinícius De Moraes - Sem Limite,Toquinho & Vinícius,2,1.98
O Pulso,Acústico,Titãs,2,1.98
Não Quero Dinheiro,Serie Sem Limite (Disc 2),Tim Maia,2,1.98
Nothing Else Matters,Black Album,Metallica,2,1.98
Not The Doctor,Jagged Little Pill,Alanis Morissette,2,1.98
Nossa Gente (Avisa Là),Olodum,Olodum,2,1.98
Norwegian Wood,Minas,Milton Nascimento,2,1.98
No Quarter,Houses Of The Holy,Led Zeppelin,2,1.98
No No No,Fireball,Deep Purple,2,1.98
Nice Guys Finish Last,International Superhits,Green Day,2,1.98
New Year's Day,War,U2,2,1.98
Nega Do Cabelo Duro,Os Cães Ladram Mas A Caravana Não Pára,Planet Hemp,2,1.98
Nebulosa Do Amor,Acústico MTV,Os Paralamas Do Sucesso,2,1.98
Música No Ar,Serie Sem Limite (Disc 1),Tim Maia,2,1.98
"Music for the Funeral of Queen Mary: VI. ""Thou Knowest, Lord, the Secrets of Our Hearts""",Purcell: Music for the Queen Mary,"Equale Brass Ensemble, John Eliot Gardiner & Munich Monteverdi Orchestra and Choir",2,1.98
Mr. Cab Driver,Greatest Hits,Lenny Kravitz,2,1.98
Motorbreath,Kill 'Em All,Metallica,2,1.98
Morena De Angola,Minha Historia,Chico Buarque,2,1.98
Moonchild,Seventh Son of a Seventh Son,Iron Maiden,2,1.98
Mis Penas Lloraba Yo (Ao Vivo) Soy Gitano (Tangos),Cássia Eller - Sem Limite [Disc 1],Cássia Eller,2,1.98
Midnight From The Inside Out,Live [Disc 1],The Black Crowes,2,1.98
Midlife Crisis,Angel Dust,Faith No More,2,1.98
Miami,Pop,U2,2,1.98
Meu Erro,Arquivo Os Paralamas Do Sucesso,Os Paralamas Do Sucesso,2,1.98
Meu Caro Amigo,Minha Historia,Chico Buarque,2,1.98
Mensagen De Amor (2000),Arquivo II,Os Paralamas Do Sucesso,2,1.98
Menino De Rua,Compositores,O Terço,2,1.98
Menestrel Das Alagoas,Milton Nascimento Ao Vivo,Milton Nascimento,2,1.98
Mel,Prenda Minha,Caetano Veloso,2,1.98
Meditação,Prenda Minha,Caetano Veloso,2,1.98
Maybe I'm A Leo,Machine Head,Deep Purple,2,1.98
Master Of Puppets,Plays Metallica By Four Cellos,Apocalyptica,2,1.98
Manguetown,Afrociberdelia,Chico Science & Nação Zumbi,2,1.98
"Mama, I'm Coming Home",No More Tears (Remastered),Ozzy Osbourne,2,1.98
Lugar Nenhum,Volume Dois,Titãs,2,1.98
Lonely Stranger,Unplugged,Eric Clapton,2,1.98
Lixo Do Mangue,Da Lama Ao Caos,Chico Science & Nação Zumbi,2,1.98
Living On Love,Into The Light,David Coverdale,2,1.98
Living Loving Maid (She's Just A Woman),Led Zeppelin II,Led Zeppelin,2,1.98
Light Years,The Return Of The Space Cowboy,Jamiroquai,2,1.98
Let Me Love You Baby,In Step,Stevie Ray Vaughan & Double Trouble,2,1.98
Leper Messiah,Master Of Puppets,Metallica,2,1.98
Lemon Drop,Up An' Atom,Gene Krupa,2,1.98
Leave My Girl Alone,In Step,Stevie Ray Vaughan & Double Trouble,2,1.98
Layla,Unplugged,Eric Clapton,2,1.98
Lay Down Sally,The Cream Of Clapton,Eric Clapton,2,1.98
Last Cup Of Sorrow,Album Of The Year,Faith No More,2,1.98
Lamento De Carnaval,Quanta Gente Veio ver--Bônus De Carnaval,Gilberto Gil,2,1.98
L'Avventura,A TempestadeTempestade Ou O Livro Dos Dias,Legião Urbana,2,1.98
L'Arc En Ciel De Miles,Blue Moods,Incognito,2,1.98
King For A Day,King For A Day Fool For A Lifetime,Faith No More,2,1.98
Já Foi,Acústico MTV [Live],Cidade Negra,2,1.98
Judgement Of Heaven,The X Factor,Iron Maiden,2,1.98
J Squared,Heart of the Night,Spyro Gyra,2,1.98
Is This Love (Live),Quanta Gente Veio Ver (Live),Gilberto Gil,2,1.98
Intro,From The Muddy Banks Of The Wishkah [Live],Nirvana,2,1.98
Inject The Venom,For Those About To Rock We Salute You,AC/DC,2,1.98
In The Evening,In Through The Out Door,Led Zeppelin,2,1.98
Immigrant Song,Led Zeppelin III,Led Zeppelin,2,1.98
Imagine,Instant Karma: The Amnesty International Campaign to Save Darfur,U2,2,1.98
I'm Gonna Crawl,In Through The Out Door,Led Zeppelin,2,1.98
I'm Going Slightly Mad,Greatest Hits II,Queen,2,1.98
I Can't Explain,20th Century Masters - The Millennium Collection: The Best of Scorpions,Scorpions,2,1.98
I Believe,The Best Of R.E.M.: The IRS Years,R.E.M.,2,1.98
How to Stop an Exploding Man,"Heroes, Season 1",Heroes,2,3.98
How Many More Times,Led Zeppelin I,Led Zeppelin,2,1.98
Hot Girl,"The Office, Season 1",The Office,2,3.98
Holiday,American Idiot,Green Day,2,1.98
Hey America,Sex Machine,James Brown,2,1.98
Helpless,Album Of The Year,Faith No More,2,1.98
Heaven Coming Down,Tangents,The Tea Party,2,1.98
Hallelujah Here She Comes,B-Sides 1980-1990,U2,2,1.98
Gyroscope,Transmission,The Tea Party,2,1.98
Give Peace a Chance,Instant Karma: The Amnesty International Campaign to Save Darfur,U2,2,1.98
Give Me Novacaine,American Idiot,Green Day,2,1.98
Gimme Some Truth,Instant Karma: The Amnesty International Campaign to Save Darfur,U2,2,1.98
Ghost Of The Navigator,Brave New World,Iron Maiden,2,1.98
Get Up,Green,R.E.M.,2,1.98
Geni E O Zepelim,Minha Historia,Chico Buarque,2,1.98
Gay Witch Hunt,"The Office, Season 3",The Office,2,3.98
Garden of Eden,Use Your Illusion I,Guns N' Roses,2,1.98
Gangland,The Number of The Beast,Iron Maiden,2,1.98
For the Greater Good of God,A Matter of Life and Death,Iron Maiden,2,1.98
For Your Life,Presence,Led Zeppelin,2,1.98
For Whom The Bell Tolls,Ride The Lightning,Metallica,2,1.98
Folhas Secas,Compositores,O Terço,2,1.98
Firmamento,Acústico MTV [Live],Cidade Negra,2,1.98
Fear Of The Dark,Fear Of The Dark,Iron Maiden,2,1.98
Fall On Me,The Best Of R.E.M.: The IRS Years,R.E.M.,2,1.98
Falamansa Song,Deixa Entrar,Falamansa,2,1.98
Everlasting Love,B-Sides 1980-1990,U2,2,1.98
Esquinas,Djavan Ao Vivo - Vol. 02,Djavan,2,1.98
Esporrei Na Manivela,Cesta Básica,Raimundos,2,1.98
End Of Romanticism,Morning Dance,Spyro Gyra,2,1.98
Easy,Angel Dust,Faith No More,2,1.98
Drum Boogie,Up An' Atom,Gene Krupa,2,1.98
Drifter,Come Taste The Band,Deep Purple,2,1.98
Dream Of Mirrors,Brave New World,Iron Maiden,2,1.98
Down by the Sea,The Best Of Men At Work,Men At Work,2,1.98
Don't Take Your Love From Me,Up An' Atom,Gene Krupa,2,1.98
Don't Look To The Eyes Of A Stranger,Virtual XI,Iron Maiden,2,1.98
Don't Look Now,"Chronicle, Vol. 2",Creedence Clearwater Revival,2,1.98
"Dois Pra Lá, Dois Pra Cá",Elis Regina-Minha História,Elis Regina,2,1.98
Dirty Day,Zooropa,U2,2,1.98
Dezesseis,A TempestadeTempestade Ou O Livro Dos Dias,Legião Urbana,2,1.98
Deuces Are Wild,Big Ones,Aerosmith,2,1.98
Desire,The Best Of 1980-1990,U2,2,1.98
Dazed And Confused,BBC Sessions [Disc 2] [Live],Led Zeppelin,2,1.98
Dancing Days,Houses Of The Holy,Led Zeppelin,2,1.98
Country Feedback,Out Of Time,R.E.M. Feat. Kate Pearson,2,1.98
Cornucopia,Black Sabbath Vol. 4 (Remaster),Black Sabbath,2,1.98
Comportamento Geral,Meus Momentos,Gonzaguinha,2,1.98
Compadre,Serie Sem Limite (Disc 1),Tim Maia,2,1.98
Communication Breakdown,Led Zeppelin I,Led Zeppelin,2,1.98
Commotion,"Chronicle, Vol. 1",Creedence Clearwater Revival,2,1.98
Comin' Home,Come Taste The Band,Deep Purple,2,1.98
Comida,Acústico,Titãs,2,1.98
City Of Blinding Lights,How To Dismantle An Atomic Bomb,U2,2,1.98
Children Of The Grave,Tribute,Ozzy Osbourne,2,1.98
Cherub Rock,Rotten Apples: Greatest Hits,Smashing Pumpkins,2,1.98
Chemical Wedding,Chemical Wedding,Bruce Dickinson,2,1.98
Celebration Day,Led Zeppelin III,Led Zeppelin,2,1.98
Calling Dr. Love,Greatest Kiss,Kiss,2,1.98
Caleidoscópio,Acústico MTV,Os Paralamas Do Sucesso,2,1.98
Caffeine,Angel Dust,Faith No More,2,1.98
Cabeça Dinossauro,Acústico,Titãs,2,1.98
C'est La Vie,UB40 The Best Of - Volume Two [UK],UB40,2,1.98
Bumbo Da Mangueira,Chill: Brazil (Disc 2),Antônio Carlos Jobim,2,1.98
Bullet With Butterfly Wings,Rotten Apples: Greatest Hits,Smashing Pumpkins,2,1.98
Bron-Y-Aur Stomp,Led Zeppelin III,Led Zeppelin,2,1.98
Breakdown,Use Your Illusion II,Guns N' Roses,2,1.98
Branch Closing,"The Office, Season 3",The Office,2,3.98
Bowels Of The Devil,Body Count,Body Count,2,1.98
Boris The Spider,My Generation - The Very Best Of The Who,The Who,2,1.98
Blue Rythm Fantasy,Up An' Atom,Gene Krupa,2,1.98
Black Dog,BBC Sessions [Disc 2] [Live],Led Zeppelin,2,1.98
Binky The Doormat,New Adventures In Hi-Fi,R.E.M.,2,1.98
Big Wave,Pearl Jam,Pearl Jam,2,1.98
Better Than You,ReLoad,Metallica,2,1.98
Bem Devagar,Prenda Minha,Caetano Veloso,2,1.98
Believe,Heart of the Night,Spyro Gyra,2,1.98
Beira Mar,Unplugged,Eric Clapton,2,1.98
Before You Accuse Me,"Chronicle, Vol. 2",Creedence Clearwater Revival,2,1.98
Beautiful Boy,Instant Karma: The Amnesty International Campaign to Save Darfur,U2,2,1.98
Battery,Master Of Puppets,Metallica,2,1.98
Basket Case,International Superhits,Green Day,2,1.98
Banditismo Por Uma Questa,Da Lama Ao Caos,Chico Science & Nação Zumbi,2,1.98
Balls to the Wall,Balls to the Wall,Accept,2,1.98
Babylon,Transmission,The Tea Party,2,1.98
Açai,Djavan Ao Vivo - Vol. 1,Djavan,2,1.98
Azul,Djavan Ao Vivo - Vol. 1,Djavan,2,1.98
As Rosas Não Falam (Beth Carvalho),Vozes do MPB,Various Artists,2,1.98
Animal,Vault: Def Leppard's Greatest Hits,Def Leppard,2,1.98
Ando Meio Desligado,Minha História,Os Mutantes,2,1.98
Amor De Muito,Afrociberdelia,Chico Science & Nação Zumbi,2,1.98
All I Want Is You,Rattle And Hum,U2,2,1.98
All Along The Watchtower,Rattle And Hum,U2,2,1.98
Afraid To Shoot Strangers,Live At Donington 1992 (Disc 1),Iron Maiden,2,1.98
Aces High,Powerslave,Iron Maiden,2,1.98
Acelerou,Djavan Ao Vivo - Vol. 02,Djavan,2,1.98
"Abraham, Martin And John",Seek And Shall Find: More Of The Best (1963-1981),Marvin Gaye,2,1.98
A Novidade (Live),Quanta Gente Veio Ver (Live),Gilberto Gil,2,1.98
A Melhor Forma,Acústico,Titãs,2,1.98
A Cor Do Sol,Acústico MTV [Live],Cidade Negra,2,1.98
Óculos,Arquivo Os Paralamas Do Sucesso,Os Paralamas Do Sucesso,1,0.99
"Étude 1, In C Major - Preludio (Presto) - Liszt",Liszt - 12 Études D'Execution Transcendante,Michele Campanella,1,0.99
É Fogo,Demorou...,Mônica Marianno,1,0.99
Água de Beber,Chill: Brazil (Disc 1),Marcos Valle,1,0.99
Água E Fogo,Maquinarama,Skank,1,0.99
Às Vezes,Compositores,O Terço,1,0.99
[Untitled],Rotten Apples: Greatest Hits,Smashing Pumpkins,1,0.99
[Just Like] Starting Over,Instant Karma: The Amnesty International Campaign to Save Darfur,U2,1,0.99
Zé Trindade,O Samba Poconé,Skank,1,0.99
Zooropa,Zooropa,U2,1,0.99
Zither,New Adventures In Hi-Fi,R.E.M.,1,0.99
Zeca Violeiro,Deixa Entrar,Falamansa,1,0.99
Zambação,Roda De Funk,Funk Como Le Gusta,1,0.99
Your Time Has Come,Out Of Exile,Audioslave,1,0.99
Your Blue Room,Original Soundtracks 1,Passengers,1,0.99
You've Been A Long Time Coming,Seek And Shall Find: More Of The Best (1963-1981),Marvin Gaye,1,0.99
You're Gonna Break My Hart Again,Greatest Hits,Lenny Kravitz,1,0.99
You Sure Love To Ball,Seek And Shall Find: More Of The Best (1963-1981),Marvin Gaye,1,0.99
You Shook Me(2),BBC Sessions [Disc 1] [Live],Led Zeppelin,1,0.99
You Shook Me,Led Zeppelin I,Led Zeppelin,1,0.99
You Really Got Me,Van Halen,Van Halen,1,0.99
You Oughta Know,Jagged Little Pill,Alanis Morissette,1,0.99
You Learn,Jagged Little Pill,Alanis Morissette,1,0.99
You Know I'm No Good (feat. Ghostface Killah),Back to Black,Amy Winehouse,1,0.99
You Know I'm No Good,Back to Black,Amy Winehouse,1,0.99
You Keep On Moving,Come Taste The Band,Deep Purple,1,0.99
You Fool No One,MK III The Final Concerts [Disc 1],Deep Purple,1,0.99
You Could Be Mine,Use Your Illusion II,Guns N' Roses,1,0.99
You Can't Do it Right (With the One You Love),Stormbringer,Deep Purple,1,0.99
You Are The Everything,Green,R.E.M.,1,0.99
You Ain't the First,Use Your Illusion I,Guns N' Roses,1,0.99
Yesterdays,Use Your Illusion II,Guns N' Roses,1,0.99
Yesterday To Tomorrow,Out Of Exile,Audioslave,1,0.99
Yahweh,How To Dismantle An Atomic Bomb,U2,1,0.99
Xote Dos Milagres,Deixa Entrar,Falamansa,1,0.99
Xanadu,Retrospective I (1974-1980),Rush,1,0.99
X-9 2001,Carnaval 2001,Various Artists,1,0.99
Wrote A Song For Everyone,"Chronicle, Vol. 2",Creedence Clearwater Revival,1,0.99
World Wide Suicide,Pearl Jam,Pearl Jam,1,0.99
Woodpecker From Mars,The Real Thing,Faith No More,1,0.99
Wonderful Tonight,The Cream Of Clapton,Eric Clapton,1,0.99
Won't Get Fooled Again (Full Length Version),My Generation - The Very Best Of The Who,The Who,1,0.99
Women In Uniform,The Beast Live,Paul D'Ianno,1,0.99
With Or Without You,The Best Of 1980-1990,U2,1,0.99
Winterlong,Judas 0: B-Sides and Rarities,Smashing Pumpkins,1,0.99
Wildest Dreams,Dance Of Death,Iron Maiden,1,0.99
Wild Side,Motley Crue Greatest Hits,Mötley Crüe,1,0.99
Wild Hearted Son,"Pure Cult: The Best Of The Cult (For Rockers, Ravers, Lovers & Sinners) [UK]",The Cult,1,0.99
Why Go,Ten,Pearl Jam,1,0.99
Whole Lotta Love (Medley),BBC Sessions [Disc 2] [Live],Led Zeppelin,1,0.99
Whole Lotta Love,Led Zeppelin II,Led Zeppelin,1,0.99
Who'll Stop The Rain,"Chronicle, Vol. 1",Creedence Clearwater Revival,1,0.99
Who Wants To Live Forever,Greatest Hits II,Queen,1,0.99
Who Needs You,News Of The World,Queen,1,0.99
White Riot,The Singles,The Clash,1,0.99
White Feather,Misplaced Childhood,Marillion,1,0.99
Whiplash,Kill 'Em All,Metallica,1,0.99
Wherever You May Go,Into The Light,David Coverdale,1,0.99
Where The Wild Things Are,ReLoad,Metallica,1,0.99
Where The River Goes,Core,Stone Temple Pilots,1,0.99
Where Have All The Good Times Gone?,Diver Down,Van Halen,1,0.99
When You Gonna Learn (Digeridoo),Emergency On Planet Earth,Jamiroquai,1,0.99
When The World Was Young,Walking Into Clarksdale,Page & Plant,1,0.99
When The Levee Breaks,IV,Led Zeppelin,1,0.99
When Love & Hate Collide,Vault: Def Leppard's Greatest Hits,Def Leppard,1,0.99
When I Had Your Love,Seek And Shall Find: More Of The Best (1963-1981),Marvin Gaye,1,0.99
When Evening Falls,Heart of the Night,Spyro Gyra,1,0.99
Whatever Gets You Thru the Night,Instant Karma: The Amnesty International Campaign to Save Darfur,U2,1,0.99
What Now My Love,My Way: The Best Of Frank Sinatra [Disc 1],Frank Sinatra,1,0.99
What It Takes,Big Ones,Aerosmith,1,0.99
What Is And What Should Never Be,Led Zeppelin II,Led Zeppelin,1,0.99
What If I Do?,In Your Honor [Disc 2],Foo Fighters,1,0.99
Wet My Bed,Core,Stone Temple Pilots,1,0.99
Were Do We Go From Here,Synkronized,Jamiroquai,1,0.99
"Wellington's Victory or the Battle Symphony, Op.91: 2. Symphony of Triumph","Tchaikovsky: 1812 Festival Overture, Op.49, Capriccio Italien & Beethoven: Wellington's Victory",Antal Doráti & London Symphony Orchestra,1,0.99
Welcome to the Jungle,Appetite for Destruction,Guns N' Roses,1,0.99
Wearing And Tearing,Coda,Led Zeppelin,1,0.99
Wear You To The Ball,UB40 The Best Of - Volume Two [UK],UB40,1,0.99
We're Gonna Groove,Coda,Led Zeppelin,1,0.99
We Will Rock You,News Of The World,Queen,1,0.99
Wave (Os Cariocas),Vozes do MPB,Various Artists,1,0.99
Waterhole (Expresso Bongo),Misplaced Childhood,Marillion,1,0.99
Wasting Love,A Real Live One,Iron Maiden,1,0.99
"War of the Gods, Pt. 2","Battlestar Galactica (Classic), Season 1",Battlestar Galactica (Classic),1,1.99
War (The Process),Beyond Good And Evil,The Cult,1,0.99
