Song,Album,MediaType,Genre,minutes,Price
Out Of Exile,Out Of Exile,MPEG audio file,Alternative & Punk,4.85,0.99
Be Yourself,Out Of Exile,MPEG audio file,Alternative & Punk,4.66,0.99
Doesn't Remind Me,Out Of Exile,MPEG audio file,Alternative & Punk,4.26,0.99
Drown Me Slowly,Out Of Exile,MPEG audio file,Alternative & Punk,3.89,0.99
Heaven's Dead,Out Of Exile,MPEG audio file,Alternative & Punk,4.61,0.99
The Worm,Out Of Exile,MPEG audio file,Alternative & Punk,3.96,0.99
Man Or Animal,Out Of Exile,MPEG audio file,Alternative & Punk,3.89,0.99
Yesterday To Tomorrow,Out Of Exile,MPEG audio file,Alternative & Punk,4.56,0.99
Dandelion,Out Of Exile,MPEG audio file,Alternative & Punk,4.64,0.99
#1 Zero,Out Of Exile,MPEG audio file,Alternative & Punk,4.99,0.99
The Curse,Out Of Exile,MPEG audio file,Alternative & Punk,5.16,0.99
Money,BackBeat Soundtrack,MPEG audio file,Rock And Roll,2.46,0.99
Long Tall Sally,BackBeat Soundtrack,MPEG audio file,Rock And Roll,1.77,0.99
Bad Boy,BackBeat Soundtrack,MPEG audio file,Rock And Roll,1.93,0.99
Twist And Shout,BackBeat Soundtrack,MPEG audio file,Rock And Roll,2.69,0.99
Please Mr. Postman,BackBeat Soundtrack,MPEG audio file,Rock And Roll,2.29,0.99
C'Mon Everybody,BackBeat Soundtrack,MPEG audio file,Rock And Roll,2.34,0.99
Rock 'N' Roll Music,BackBeat Soundtrack,MPEG audio file,Rock And Roll,2.37,0.99
Slow Down,BackBeat Soundtrack,MPEG audio file,Rock And Roll,2.72,0.99
Roadrunner,BackBeat Soundtrack,MPEG audio file,Rock And Roll,2.39,0.99
Carol,BackBeat Soundtrack,MPEG audio file,Rock And Roll,2.4,0.99
Good Golly Miss Molly,BackBeat Soundtrack,MPEG audio file,Rock And Roll,1.77,0.99
20 Flight Rock,BackBeat Soundtrack,MPEG audio file,Rock And Roll,1.8,0.99
Quadrant,The Best Of Billy Cobham,MPEG audio file,Jazz,4.36,0.99
Snoopy's search-Red baron,The Best Of Billy Cobham,MPEG audio file,Jazz,7.6,0.99
"Spanish moss-""A sound portrait""-Spanish moss",The Best Of Billy Cobham,MPEG audio file,Jazz,4.13,0.99
Moon germs,The Best Of Billy Cobham,MPEG audio file,Jazz,4.9,0.99
Stratus,The Best Of Billy Cobham,MPEG audio file,Jazz,9.7,0.99
The pleasant pheasant,The Best Of Billy Cobham,MPEG audio file,Jazz,5.3,0.99
Solo-Panhandler,The Best Of Billy Cobham,MPEG audio file,Jazz,4.1,0.99
Do what cha wanna,The Best Of Billy Cobham,MPEG audio file,Jazz,4.57,0.99
Intro/ Low Down,Alcohol Fueled Brewtality Live! [Disc 1],MPEG audio file,Metal,5.39,0.99
13 Years Of Grief,Alcohol Fueled Brewtality Live! [Disc 1],MPEG audio file,Metal,4.12,0.99
Stronger Than Death,Alcohol Fueled Brewtality Live! [Disc 1],MPEG audio file,Metal,5.01,0.99
All For You,Alcohol Fueled Brewtality Live! [Disc 1],MPEG audio file,Metal,3.93,0.99
Super Terrorizer,Alcohol Fueled Brewtality Live! [Disc 1],MPEG audio file,Metal,5.32,0.99
Phoney Smile Fake Hellos,Alcohol Fueled Brewtality Live! [Disc 1],MPEG audio file,Metal,4.56,0.99
Lost My Better Half,Alcohol Fueled Brewtality Live! [Disc 1],MPEG audio file,Metal,4.73,0.99
Bored To Tears,Alcohol Fueled Brewtality Live! [Disc 1],MPEG audio file,Metal,4.12,0.99
A.N.D.R.O.T.A.Z.,Alcohol Fueled Brewtality Live! [Disc 1],MPEG audio file,Metal,4.44,0.99
Born To Booze,Alcohol Fueled Brewtality Live! [Disc 1],MPEG audio file,Metal,4.7,0.99
World Of Trouble,Alcohol Fueled Brewtality Live! [Disc 1],MPEG audio file,Metal,5.99,0.99
No More Tears,Alcohol Fueled Brewtality Live! [Disc 1],MPEG audio file,Metal,9.25,0.99
The Begining... At Last,Alcohol Fueled Brewtality Live! [Disc 1],MPEG audio file,Metal,6.09,0.99
Heart Of Gold,Alcohol Fueled Brewtality Live! [Disc 2],MPEG audio file,Metal,3.25,0.99
Snowblind,Alcohol Fueled Brewtality Live! [Disc 2],MPEG audio file,Metal,7.0,0.99
Like A Bird,Alcohol Fueled Brewtality Live! [Disc 2],MPEG audio file,Metal,4.61,0.99
Blood In The Wall,Alcohol Fueled Brewtality Live! [Disc 2],MPEG audio file,Metal,4.74,0.99
The Beginning...At Last,Alcohol Fueled Brewtality Live! [Disc 2],MPEG audio file,Metal,4.53,0.99
Black Sabbath,Black Sabbath,MPEG audio file,Metal,6.37,0.99
The Wizard,Black Sabbath,MPEG audio file,Metal,4.41,0.99
Behind The Wall Of Sleep,Black Sabbath,MPEG audio file,Metal,3.63,0.99
N.I.B.,Black Sabbath,MPEG audio file,Metal,6.15,0.99
Evil Woman,Black Sabbath,MPEG audio file,Metal,3.42,0.99
Sleeping Village,Black Sabbath,MPEG audio file,Metal,10.74,0.99
Warning,Black Sabbath,MPEG audio file,Metal,3.53,0.99
Wheels Of Confusion / The Straightener,Black Sabbath Vol. 4 (Remaster),MPEG audio file,Metal,8.24,0.99
Tomorrow's Dream,Black Sabbath Vol. 4 (Remaster),MPEG audio file,Metal,3.21,0.99
Changes,Black Sabbath Vol. 4 (Remaster),MPEG audio file,Metal,4.77,0.99
FX,Black Sabbath Vol. 4 (Remaster),MPEG audio file,Metal,1.72,0.99
Supernaut,Black Sabbath Vol. 4 (Remaster),MPEG audio file,Metal,4.76,0.99
Snowblind,Black Sabbath Vol. 4 (Remaster),MPEG audio file,Metal,5.53,0.99
Cornucopia,Black Sabbath Vol. 4 (Remaster),MPEG audio file,Metal,3.91,0.99
Laguna Sunrise,Black Sabbath Vol. 4 (Remaster),MPEG audio file,Metal,2.88,0.99
St. Vitus Dance,Black Sabbath Vol. 4 (Remaster),MPEG audio file,Metal,2.49,0.99
Under The Sun/Every Day Comes and Goes,Black Sabbath Vol. 4 (Remaster),MPEG audio file,Metal,5.84,0.99
Smoked Pork,Body Count,MPEG audio file,Alternative & Punk,0.79,0.99
Body Count's In The House,Body Count,MPEG audio file,Alternative & Punk,3.4,0.99
Now Sports,Body Count,MPEG audio file,Alternative & Punk,0.08,0.99
Body Count,Body Count,MPEG audio file,Alternative & Punk,5.3,0.99
A Statistic,Body Count,MPEG audio file,Alternative & Punk,0.11,0.99
Bowels Of The Devil,Body Count,MPEG audio file,Alternative & Punk,3.72,0.99
The Real Problem,Body Count,MPEG audio file,Alternative & Punk,0.19,0.99
KKK Bitch,Body Count,MPEG audio file,Alternative & Punk,2.88,0.99
D Note,Body Count,MPEG audio file,Alternative & Punk,1.6,0.99
Voodoo,Body Count,MPEG audio file,Alternative & Punk,5.01,0.99
The Winner Loses,Body Count,MPEG audio file,Alternative & Punk,6.54,0.99
There Goes The Neighborhood,Body Count,MPEG audio file,Alternative & Punk,5.84,0.99
Oprah,Body Count,MPEG audio file,Alternative & Punk,0.11,0.99
Evil Dick,Body Count,MPEG audio file,Alternative & Punk,3.98,0.99
Body Count Anthem,Body Count,MPEG audio file,Alternative & Punk,2.77,0.99
Momma's Gotta Die Tonight,Body Count,MPEG audio file,Alternative & Punk,6.19,0.99
Freedom Of Speech,Body Count,MPEG audio file,Alternative & Punk,4.69,0.99
King In Crimson,Chemical Wedding,MPEG audio file,Metal,4.72,0.99
Chemical Wedding,Chemical Wedding,MPEG audio file,Metal,4.1,0.99
The Tower,Chemical Wedding,MPEG audio file,Metal,4.75,0.99
Killing Floor,Chemical Wedding,MPEG audio file,Metal,4.49,0.99
Book Of Thel,Chemical Wedding,MPEG audio file,Metal,8.24,0.99
Gates Of Urizen,Chemical Wedding,MPEG audio file,Metal,4.42,0.99
Jerusalem,Chemical Wedding,MPEG audio file,Metal,6.71,0.99
Trupets Of Jericho,Chemical Wedding,MPEG audio file,Metal,5.99,0.99
Machine Men,Chemical Wedding,MPEG audio file,Metal,5.69,0.99
The Alchemist,Chemical Wedding,MPEG audio file,Metal,8.49,0.99
Realword,Chemical Wedding,MPEG audio file,Metal,3.96,0.99
First Time I Met The Blues,The Best Of Buddy Guy - The Millenium Collection,MPEG audio file,Blues,2.34,0.99
Let Me Love You Baby,The Best Of Buddy Guy - The Millenium Collection,MPEG audio file,Blues,2.92,0.99
Stone Crazy,The Best Of Buddy Guy - The Millenium Collection,MPEG audio file,Blues,7.22,0.99
Pretty Baby,The Best Of Buddy Guy - The Millenium Collection,MPEG audio file,Blues,3.96,0.99
When My Left Eye Jumps,The Best Of Buddy Guy - The Millenium Collection,MPEG audio file,Blues,3.92,0.99
Leave My Girl Alone,The Best Of Buddy Guy - The Millenium Collection,MPEG audio file,Blues,3.41,0.99
She Suits Me To A Tee,The Best Of Buddy Guy - The Millenium Collection,MPEG audio file,Blues,2.28,0.99
Keep It To Myself (Aka Keep It To Yourself),The Best Of Buddy Guy - The Millenium Collection,MPEG audio file,Blues,2.77,0.99
My Time After Awhile,The Best Of Buddy Guy - The Millenium Collection,MPEG audio file,Blues,3.04,0.99
Too Many Ways (Alternate),The Best Of Buddy Guy - The Millenium Collection,MPEG audio file,Blues,2.25,0.99
Talkin' 'Bout Women Obviously,The Best Of Buddy Guy - The Millenium Collection,MPEG audio file,Blues,9.83,0.99
Jorge Da Capadócia,Prenda Minha,MPEG audio file,Latin,2.96,0.99
Prenda Minha,Prenda Minha,MPEG audio file,Latin,1.66,0.99
Meditação,Prenda Minha,MPEG audio file,Latin,2.48,0.99
Terra,Prenda Minha,MPEG audio file,Latin,8.04,0.99
Eclipse Oculto,Prenda Minha,MPEG audio file,Latin,3.7,0.99
"Texto ""Verdade Tropical""",Prenda Minha,MPEG audio file,Latin,1.4,0.99
Bem Devagar,Prenda Minha,MPEG audio file,Latin,2.22,0.99
Drão,Prenda Minha,MPEG audio file,Latin,2.6,0.99
Saudosismo,Prenda Minha,MPEG audio file,Latin,2.41,0.99
Carolina,Prenda Minha,MPEG audio file,Latin,3.03,0.99
Sozinho,Prenda Minha,MPEG audio file,Latin,3.18,0.99
Esse Cara,Prenda Minha,MPEG audio file,Latin,3.72,0.99
Mel,Prenda Minha,MPEG audio file,Latin,4.91,0.99
Linha Do Equador,Prenda Minha,MPEG audio file,Latin,4.99,0.99
Odara,Prenda Minha,MPEG audio file,Latin,2.35,0.99
A Luz De Tieta,Prenda Minha,MPEG audio file,Latin,4.2,0.99
Atrás Da Verd-E-Rosa Só Não Vai Quem Já Morreu,Prenda Minha,MPEG audio file,Latin,5.12,0.99
Vida Boa,Prenda Minha,MPEG audio file,Latin,4.7,0.99
Sozinho (Hitmakers Classic Mix),Sozinho Remix Ao Vivo,MPEG audio file,Latin,7.28,0.99
Sozinho (Hitmakers Classic Radio Edit),Sozinho Remix Ao Vivo,MPEG audio file,Latin,3.25,0.99
Sozinho (Caêdrum 'n' Bass),Sozinho Remix Ao Vivo,MPEG audio file,Latin,5.47,0.99
Carolina,Minha Historia,MPEG audio file,Latin,2.72,0.99
Essa Moça Ta Diferente,Minha Historia,MPEG audio file,Latin,2.79,0.99
Vai Passar,Minha Historia,MPEG audio file,Latin,6.16,0.99
Samba De Orly,Minha Historia,MPEG audio file,Latin,2.71,0.99
"Bye, Bye Brasil",Minha Historia,MPEG audio file,Latin,4.72,0.99
Atras Da Porta,Minha Historia,MPEG audio file,Latin,3.16,0.99
Tatuagem,Minha Historia,MPEG audio file,Latin,2.87,0.99
O Que Será (À Flor Da Terra),Minha Historia,MPEG audio file,Latin,2.79,0.99
Morena De Angola,Minha Historia,MPEG audio file,Latin,3.11,0.99
Apesar De Você,Minha Historia,MPEG audio file,Latin,3.91,0.99
A Banda,Minha Historia,MPEG audio file,Latin,2.21,0.99
Minha Historia,Minha Historia,MPEG audio file,Latin,3.04,0.99
Com Açúcar E Com Afeto,Minha Historia,MPEG audio file,Latin,2.92,0.99
Brejo Da Cruz,Minha Historia,MPEG audio file,Latin,3.57,0.99
Meu Caro Amigo,Minha Historia,MPEG audio file,Latin,4.34,0.99
Geni E O Zepelim,Minha Historia,MPEG audio file,Latin,5.29,0.99
Trocando Em Miúdos,Minha Historia,MPEG audio file,Latin,2.83,0.99
Vai Trabalhar Vagabundo,Minha Historia,MPEG audio file,Latin,2.32,0.99
Gota D'água,Minha Historia,MPEG audio file,Latin,2.55,0.99
Construção / Deus Lhe Pague,Minha Historia,MPEG audio file,Latin,6.38,0.99
Mateus Enter,Afrociberdelia,MPEG audio file,Latin,0.55,0.99
O Cidadão Do Mundo,Afrociberdelia,MPEG audio file,Latin,3.35,0.99
Etnia,Afrociberdelia,MPEG audio file,Latin,2.54,0.99
Quilombo Groove [Instrumental],Afrociberdelia,MPEG audio file,Latin,2.53,0.99
Macô,Afrociberdelia,MPEG audio file,Latin,4.16,0.99
Um Passeio No Mundo Livre,Afrociberdelia,MPEG audio file,Latin,4.0,0.99
Samba Do Lado,Afrociberdelia,MPEG audio file,Latin,3.79,0.99
Maracatu Atômico,Afrociberdelia,MPEG audio file,Latin,4.74,0.99
O Encontro De Isaac Asimov Com Santos Dumont No Céu,Afrociberdelia,MPEG audio file,Latin,1.65,0.99
Corpo De Lama,Afrociberdelia,MPEG audio file,Latin,3.88,0.99
Sobremesa,Afrociberdelia,MPEG audio file,Latin,4.0,0.99
Manguetown,Afrociberdelia,MPEG audio file,Latin,3.24,0.99
Um Satélite Na Cabeça,Afrociberdelia,MPEG audio file,Latin,2.11,0.99
Baião Ambiental [Instrumental],Afrociberdelia,MPEG audio file,Latin,2.54,0.99
Sangue De Bairro,Afrociberdelia,MPEG audio file,Latin,2.2,0.99
Enquanto O Mundo Explode,Afrociberdelia,MPEG audio file,Latin,1.48,0.99
Interlude Zumbi,Afrociberdelia,MPEG audio file,Latin,1.19,0.99
Criança De Domingo,Afrociberdelia,MPEG audio file,Latin,3.47,0.99
Amor De Muito,Afrociberdelia,MPEG audio file,Latin,2.92,0.99
Samidarish [Instrumental],Afrociberdelia,MPEG audio file,Latin,4.54,0.99
Maracatu Atômico [Atomic Version],Afrociberdelia,MPEG audio file,Latin,4.55,0.99
Maracatu Atômico [Ragga Mix],Afrociberdelia,MPEG audio file,Latin,3.5,0.99
Maracatu Atômico [Trip Hop],Afrociberdelia,MPEG audio file,Latin,3.69,0.99
Banditismo Por Uma Questa,Da Lama Ao Caos,MPEG audio file,Latin,5.12,0.99
Banditismo Por Uma Questa,Da Lama Ao Caos,MPEG audio file,Latin,4.06,0.99
Rios Pontes & Overdrives,Da Lama Ao Caos,MPEG audio file,Latin,4.78,0.99
Cidade,Da Lama Ao Caos,MPEG audio file,Latin,3.61,0.99
Praiera,Da Lama Ao Caos,MPEG audio file,Latin,3.06,0.99
Samba Makossa,Da Lama Ao Caos,MPEG audio file,Latin,4.53,0.99
Da Lama Ao Caos,Da Lama Ao Caos,MPEG audio file,Latin,4.19,0.99
Maracatu De Tiro Certeiro,Da Lama Ao Caos,MPEG audio file,Latin,1.48,0.99
Salustiano Song,Da Lama Ao Caos,MPEG audio file,Latin,3.59,0.99
Antene Se,Da Lama Ao Caos,MPEG audio file,Latin,4.14,0.99
Risoflora,Da Lama Ao Caos,MPEG audio file,Latin,1.76,0.99
Lixo Do Mangue,Da Lama Ao Caos,MPEG audio file,Latin,3.22,0.99
Computadores Fazem Arte,Da Lama Ao Caos,MPEG audio file,Latin,6.74,0.99
Girassol,Acústico MTV [Live],MPEG audio file,Reggae,4.16,0.99
A Sombra Da Maldade,Acústico MTV [Live],MPEG audio file,Reggae,3.85,0.99
Johnny B. Goode,Acústico MTV [Live],MPEG audio file,Reggae,4.24,0.99
Soldado Da Paz,Acústico MTV [Live],MPEG audio file,Reggae,3.24,0.99
Firmamento,Acústico MTV [Live],MPEG audio file,Reggae,3.7,0.99
Extra,Acústico MTV [Live],MPEG audio file,Reggae,5.07,0.99
O Erê,Acústico MTV [Live],MPEG audio file,Reggae,3.94,0.99
Podes Crer,Acústico MTV [Live],MPEG audio file,Reggae,3.87,0.99
A Estrada,Acústico MTV [Live],MPEG audio file,Reggae,4.15,0.99
Berlim,Acústico MTV [Live],MPEG audio file,Reggae,3.46,0.99
Já Foi,Acústico MTV [Live],MPEG audio file,Reggae,3.69,0.99
Onde Você Mora?,Acústico MTV [Live],MPEG audio file,Reggae,4.27,0.99
Pensamento,Acústico MTV [Live],MPEG audio file,Reggae,2.88,0.99
Conciliação,Acústico MTV [Live],MPEG audio file,Reggae,4.29,0.99
Realidade Virtual,Acústico MTV [Live],MPEG audio file,Reggae,3.25,0.99
Mensagem,Acústico MTV [Live],MPEG audio file,Reggae,3.76,0.99
A Cor Do Sol,Acústico MTV [Live],MPEG audio file,Reggae,3.86,0.99
Onde Você Mora?,Cidade Negra - Hits,MPEG audio file,Reggae,4.97,0.99
O Erê,Cidade Negra - Hits,MPEG audio file,Reggae,3.45,0.99
A Sombra Da Maldade,Cidade Negra - Hits,MPEG audio file,Reggae,4.75,0.99
A Estrada,Cidade Negra - Hits,MPEG audio file,Reggae,4.7,0.99
Falar A Verdade,Cidade Negra - Hits,MPEG audio file,Reggae,4.08,0.99
Firmamento,Cidade Negra - Hits,MPEG audio file,Reggae,3.76,0.99
Pensamento,Cidade Negra - Hits,MPEG audio file,Reggae,3.21,0.99
Realidade Virtual,Cidade Negra - Hits,MPEG audio file,Reggae,4.01,0.99
Doutor,Cidade Negra - Hits,MPEG audio file,Reggae,2.97,0.99
Na Frente Da TV,Cidade Negra - Hits,MPEG audio file,Reggae,4.83,0.99
Downtown,Cidade Negra - Hits,MPEG audio file,Reggae,4.0,0.99
Sábado A Noite,Cidade Negra - Hits,MPEG audio file,Reggae,4.46,0.99
A Cor Do Sol,Cidade Negra - Hits,MPEG audio file,Reggae,4.55,0.99
Eu Também Quero Beijar,Cidade Negra - Hits,MPEG audio file,Reggae,3.52,0.99
Noite Do Prazer,Na Pista,MPEG audio file,Latin,5.19,0.99
À Francesa,Na Pista,MPEG audio file,Latin,4.08,0.99
Cada Um Cada Um (A Namoradeira),Na Pista,MPEG audio file,Latin,4.22,0.99
Linha Do Equador,Na Pista,MPEG audio file,Latin,4.08,0.99
Amor Demais,Na Pista,MPEG audio file,Latin,4.23,0.99
Férias,Na Pista,MPEG audio file,Latin,4.4,0.99
Gostava Tanto De Você,Na Pista,MPEG audio file,Latin,3.84,0.99
Flor Do Futuro,Na Pista,MPEG audio file,Latin,4.6,0.99
Felicidade Urgente,Na Pista,MPEG audio file,Latin,4.44,0.99
Livre Pra Viver,Na Pista,MPEG audio file,Latin,3.58,0.99
"Dig-Dig, Lambe-Lambe (Ao Vivo)",Axé Bahia 2001,MPEG audio file,Pop,3.42,0.99
Pererê,Axé Bahia 2001,MPEG audio file,Pop,3.31,0.99
TriboTchan,Axé Bahia 2001,MPEG audio file,Pop,3.24,0.99
"Tapa Aqui, Descobre Ali",Axé Bahia 2001,MPEG audio file,Pop,3.14,0.99
Daniela,Axé Bahia 2001,MPEG audio file,Pop,3.85,0.99
Bate Lata,Axé Bahia 2001,MPEG audio file,Pop,3.45,0.99
Garotas do Brasil,Axé Bahia 2001,MPEG audio file,Pop,3.5,0.99
Levada do Amor (Ailoviu),Axé Bahia 2001,MPEG audio file,Pop,3.17,0.99
Lavadeira,Axé Bahia 2001,MPEG audio file,Pop,3.57,0.99
Reboladeira,Axé Bahia 2001,MPEG audio file,Pop,3.51,0.99
É que Nessa Encarnação Eu Nasci Manga,Axé Bahia 2001,MPEG audio file,Pop,3.28,0.99
Reggae Tchan,Axé Bahia 2001,MPEG audio file,Pop,3.44,0.99
My Love,Axé Bahia 2001,MPEG audio file,Pop,3.39,0.99
Latinha de Cerveja,Axé Bahia 2001,MPEG audio file,Pop,2.78,0.99
You Shook Me,BBC Sessions [Disc 1] [Live],MPEG audio file,Rock,5.27,0.99
I Can't Quit You Baby,BBC Sessions [Disc 1] [Live],MPEG audio file,Rock,4.4,0.99
Communication Breakdown,BBC Sessions [Disc 1] [Live],MPEG audio file,Rock,3.21,0.99
Dazed and Confused,BBC Sessions [Disc 1] [Live],MPEG audio file,Rock,6.7,0.99
The Girl I Love She Got Long Black Wavy Hair,BBC Sessions [Disc 1] [Live],MPEG audio file,Rock,3.06,0.99
What is and Should Never Be,BBC Sessions [Disc 1] [Live],MPEG audio file,Rock,4.34,0.99
